title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
Swimlane,http://bl.ocks.org/1962173,Bill Scheidel,code viewer,bl.ocks,timeline,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.04.42%20PM.png,
Chernoff faces,http://bl.ocks.org/2011590,,code viewer,bl.ocks,chernoff faces,,,
Hive Plot (Links),http://bl.ocks.org/2066415,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2066415/raw/thumbnail.png,12/19/2012
Hive Plot (Areas),http://bl.ocks.org/2066421,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2066421/raw/thumbnail.png,12/19/2012
mousewheel-zoom + click-to-center,http://bl.ocks.org/2206340,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206340/raw/thumbnail.png,1/14/2013
click-to-center,http://bl.ocks.org/2206489,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206489/raw/thumbnail.png,1/15/2013
click-to-center via transform,http://bl.ocks.org/2206529,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206529/raw/thumbnail.png,10/11/2012
click-to-zoom via transform,http://bl.ocks.org/2206590,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206590/raw/thumbnail.png,1/23/2013
Flows of refugees between the world countries in 2008,http://bl.ocks.org/2209220,,code viewer,bl.ocks,,,,
Pictograms,http://bl.ocks.org/2280295,,code viewer,bl.ocks,pictogram,,,
SVG to Canvas,http://bl.ocks.org/2294676,,code viewer,bl.ocks,,canvas,,
Templating ala Mustache with Chernoff faces example,http://bl.ocks.org/2295155,,code viewer,bl.ocks,chernoff faces,,,
Map from GeoJSON data with zoom/pan,http://bl.ocks.org/2322933,,code viewer,bl.ocks,map,,,
